,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,un
Alabama-Autauga,0.0054925618403827816,0.00539966258933466,0.005582767228863809,0.026026026026026026,0.7595190380761523,0.21536670547147843,0.0043431053203040184,0.024038461538461536,0.0,0.006721882742382624,0.361049630823167,0.10059283851078966,0.31974816650480564,0.06381574605688642,0.18312101910828027,0.22794117647058829,0.32561983471074385,0.36144578313253006,0.6421725239616615,0.17875647668393785,0.3075539568345324,0.9205816554809844,0.29431438127090304,0.001620745542949757,0.007022471910112359,0.03324808184143223,0.04838709677419355,0.5524296675191815,0.005161147800957113,0.7677725118483414,0.24999999999999994,0.15027322404371585,0.0,0.20821917808219176,0.0036303428620960737
Alabama-Baldwin,0.019429180410274527,0.019265125799014782,0.01958847781874473,0.04504504504504504,0.8326653306613225,0.11059371362048893,0.006514657980456026,0.016826923076923073,0.0,0.024412614614757314,0.35195743399968127,0.04709509129713066,0.35897994039047587,0.03946413251501353,0.1910828025477707,0.23529411764705885,0.3239669421487603,0.3825301204819277,0.7348242811501599,0.2357512953367876,0.20143884892086328,0.8892617449664431,0.29431438127090304,0.001620745542949757,0.014044943820224719,0.03580562659846547,0.10483870967741934,0.5498721227621483,0.01852934901237282,0.8925750394944709,0.1076158940397351,0.15846994535519124,0.04081632653061224,0.2054794520547945,0.011880097223342621
Alabama-Barbour,0.0026744560310642145,0.0029229720529091304,0.002433146396795284,0.04604604604604604,0.46292585170340683,0.5436554132712457,0.0021715526601520092,0.009615384615384616,0.0,0.0034124573380815123,0.19888627228783398,0.1281953995731563,0.18328254244666956,0.04520556985415429,0.4028662420382165,0.5551470588235294,0.21983471074380165,0.33433734939759036,0.6070287539936103,0.2357512953367876,0.4154676258992806,0.8791946308724833,0.36454849498327757,0.006482982171799028,0.025280898876404494,0.03836317135549872,0.04301075268817204,0.49104859335038364,0.0018412638555914125,0.7393364928909953,0.24834437086092714,0.1994535519125683,0.01020408163265306,0.4821917808219178,0.0015565054311091646
Alabama-Bibb,0.002243307459438114,0.0024328105685610343,0.002059299500451012,0.022022022022022025,0.7464929859719439,0.24912689173457506,0.0043431053203040184,0.002403846153846154,0.0,0.002880098116830936,0.2494732368928945,0.17666587621531896,0.21019054954623087,0.09932026661387183,0.24522292993630573,0.34191176470588236,0.13223140495867772,0.3885542168674698,0.43769968051118224,0.4481865284974094,0.42625899280575535,0.8724832214765101,0.451505016722408,0.008103727714748784,0.008426966292134831,0.03836317135549872,0.018817204301075266,0.6112531969309463,0.0017758973707356189,0.8183254344391786,0.1705298013245033,0.1830601092896175,0.04081632653061224,0.2273972602739726,0.0012786743473975819
Alabama-Blount,0.005740512116440398,0.005756970899088408,0.005724530600271668,0.08608608608608607,0.8807615230460922,0.017462165308498253,0.003257328990228013,0.002403846153846154,0.0,0.006989798846273874,0.31264054393824037,0.13616314915816932,0.2453702153310338,0.03926615191711212,0.24363057324840764,0.33333333333333337,0.24793388429752064,0.27409638554216864,0.6325878594249201,0.30569948186528506,0.35791366906474814,0.8914988814317675,0.3745819397993311,0.006482982171799028,0.012640449438202247,0.010230179028132993,0.0618279569892473,0.7672634271099743,0.004773479242257902,0.9004739336492893,0.12748344370860926,0.11475409836065574,0.04081632653061224,0.21095890410958903,0.003848048192795231
Alabama-Bullock,0.001055258045109816,0.0011360260804734344,0.000976832095227287,0.04404404404404405,0.2224448897795591,0.8230500582072177,0.013029315960912053,0.004807692307692308,0.0,0.0013192387411978396,0.1898029286258123,0.2662556319658525,0.19594119419979236,0.12815944037484325,0.3694267515923567,0.4705882352941177,0.08760330578512396,0.3012048192771084,0.49840255591054317,0.4766839378238344,0.474820143884892,0.7796420581655482,0.4983277591973244,0.011345218800648297,0.0702247191011236,0.043478260869565216,0.07526881720430106,0.578005115089514,0.0008204248907808016,0.8609794628751977,0.15397350993377482,0.14754098360655737,0.0,0.4931506849315068,0.0006553707078354377
Alabama-Butler,0.002019165988514194,0.001912923944691828,0.0021223272597611542,0.012012012012012012,0.534068136272545,0.5098952270081489,0.0010857763300760046,0.009615384615384616,0.0,0.0025635602014927555,0.19237919861182431,0.07223144415461229,0.2095040353638525,0.03966211311291493,0.38216560509554137,0.48039215686274517,0.23140495867768598,0.3493975903614458,0.5686900958466454,0.22279792746113994,0.42625899280575535,0.8870246085011186,0.41471571906354515,0.0,0.011235955056179775,0.015345268542199487,0.04569892473118279,0.5038363171355499,0.0016721307726642108,0.8278041074249607,0.1721854304635761,0.16939890710382513,0.02040816326530612,0.29863013698630136,0.0011944982931801863
Alabama-Calhoun,0.011611823233468845,0.011370775820075146,0.011845880831589434,0.035035035035035036,0.7314629258517034,0.23632130384167635,0.0021715526601520092,0.021634615384615384,0.0,0.014641449697345762,0.27625405032136974,0.031064737965378234,0.2594688724423161,0.02481356827030951,0.304140127388535,0.3872549019607844,0.22809917355371903,0.3825301204819277,0.6421725239616615,0.22797927461139902,0.3669064748201438,0.8959731543624161,0.31438127090301005,0.003241491085899514,0.016853932584269662,0.030690537084398974,0.07258064516129031,0.49104859335038364,0.010212488536595416,0.7756714060031595,0.24834437086092714,0.13661202185792348,0.01020408163265306,0.336986301369863,0.007022437427880411
Alabama-Chambers,0.0033864289611501065,0.0032790670916620175,0.0034906775857187346,0.004004004004004004,0.5741482965931863,0.469150174621653,0.0021715526601520092,0.019230769230769232,0.0,0.004363063365962317,0.209625157143616,0.12705714963244014,0.2543953651920565,0.08268989639015376,0.32165605095541405,0.45588235294117657,0.1619834710743802,0.28614457831325296,0.70926517571885,0.25388601036269437,0.4388489208633093,0.8937360178970917,0.3979933110367893,0.003241491085899514,0.004213483146067416,0.010230179028132993,0.056451612903225805,0.5166240409207161,0.0029397659707257385,0.9494470774091628,0.10430463576158938,0.07650273224043715,0.0,0.24383561643835616,0.001906988466377428
Alabama-Cherokee,0.0025824086003381247,0.002615205642357232,0.002550562596382403,0.015015015015015015,0.9188376753507014,0.055878928987194404,0.006514657980456026,0.00721153846153846,0.0,0.0033936039826224984,0.22838500628574468,0.06829499644296894,0.2667861089715683,0.0952286675905761,0.28343949044585987,0.3688725490196079,0.2611570247933884,0.33132530120481923,0.4920127795527157,0.3108808290155441,0.38669064748201437,0.8803131991051455,0.4046822742474916,0.003241491085899514,0.008426966292134831,0.017902813299232736,0.06720430107526881,0.5754475703324807,0.0021773727117146017,0.759873617693523,0.21026490066225162,0.21584699453551912,0.0510204081632653,0.21643835616438356,0.0013535810146922285
