,Men_log,Hispanic_scale,White_scale,Black_scale,Native_scale,Asian_scale,Pacific_scale,Construction_log,Production_log,Drive_boxcox,Carpool_boxcox,Walk_boxcox,OtherTransp_boxcox,Income_log,IncomeErr_log,Poverty_log,MeanCommute_scale
Alabama-Autauga,10.19410281896535,-0.43722582067054533,0.016189360668591116,0.688840030472211,-0.18250295060451638,-0.08700989637500284,-0.11258977713575608,2.151762203259462,2.8390784635086144,25144684268.73686,4.136473519545377,0.3734769619172768,0.6848266081210523,10.845075592184445,7.779466967458324,2.5572273113676265,0.5752633393672313
Alabama-Baldwin,11.46493198336495,-0.33846496799278536,0.3345589012658522,0.05845126474738374,-0.1549243082342631,-0.20096266196374024,-0.11258977713575608,2.379546134130174,2.4159137783010487,20913264771.2982,4.136473519545377,0.6031460500405398,0.7129159957715903,10.824845424743302,7.141245122350491,2.5952547069568657,0.5574049078300508
Alabama-Barbour,9.581697010450897,-0.33326702837816646,-1.27473370805455,2.6640581630766698,-0.21008159297476972,-0.3149154275524776,-0.11258977713575608,2.379546134130174,3.139832617527748,19685368542.473904,4.74221037222263,0.8394763500390321,0.7393175950494679,10.403171335883274,7.997326822998097,3.2846635654062037,0.14666098247490514
Alabama-Bibb,9.398726833332388,-0.458017579129021,-0.0405065849172224,0.8919652994279885,-0.18250295060451638,-0.42886819314121494,-0.11258977713575608,2.9444389791664403,3.1654750481410856,18900325764.18798,5.419249323637295,0.4273890922944439,0.7393175950494679,10.563026241922243,8.292798858200374,2.8213788864092133,0.9860072647223777
Alabama-Blount,10.258080330270536,-0.12534944379340865,0.5438977772750108,-0.501894304785796,-0.19629227178964304,-0.42886819314121494,-0.11258977713575608,2.6026896854443837,2.990719731730447,21194538781.1875,4.824033167955535,0.5641603756139424,0.3103780168858844,10.73232317262129,8.052296499538647,2.8154087194227095,2.0753715884903734
Alabama-Bullock,8.641179171197228,-0.3436629076074043,-2.3214280881003404,4.345094871676209,-0.07218838112350312,-0.3908839379449692,-0.11258977713575608,3.0007198150650303,3.2733640101522705,10426855940.83976,5.757585886995034,1.267995442989618,0.7876883935959887,10.371551802400813,8.679992081721329,3.202746442938317,0.753847654739034
Alabama-Butler,9.159257581746866,-0.5099969752752106,-0.9650866206243373,2.4609328941208917,-0.22387091415989635,-0.3149154275524776,-0.11258977713575608,2.33214389523559,3.1654750481410856,20635079436.607513,5.141255647872872,0.5221666900997034,0.42014412825939745,10.380621947334651,7.491645473605133,3.2347491740244907,0.23595314016080648
Alabama-Calhoun,10.937987895736994,-0.3904443641389748,-0.1059249836700843,0.8149177836171765,-0.21008159297476972,-0.12499415157124862,-0.11258977713575608,2.3513752571634776,3.0155349008501706,21766460927.09714,4.31593211161125,0.67343992738632,0.6548608232528105,10.638328347645203,6.829793737512425,3.0204248861443626,0.14666098247490514
Alabama-Chambers,9.696340374306518,-0.5515804921921621,-0.7906375572833723,2.2157817074501254,-0.21008159297476972,-0.1629784067674944,-0.11258977713575608,2.4423470353692043,3.1945831322991562,21478928448.374485,5.010959488192185,0.24871170625465452,0.3103780168858844,10.439308182191418,7.989221408815276,3.0726933146901194,0.3252452978467078
Alabama-Cherokee,9.470779708034089,-0.49440315643135374,0.7096243874489274,-0.2707517573533594,-0.1549243082342631,-0.35289968274872335,-0.11258977713575608,2.617395832834079,3.068052935133617,19818788230.263004,5.063388895304106,0.4273890922944439,0.46767368991005126,10.4994628213438,7.444248649496705,2.954910279033736,0.7359892232018534
Alabama-Chilton,9.981327836654465,-0.17732883993959808,0.22116701009422518,0.10748150208153692,-0.18250295060451638,-0.35289968274872335,-0.11258977713575608,2.72785282839839,2.970414465569701,16467661241.15248,5.590451702852611,0.6394741277673885,0.7129159957715903,10.636504274176522,7.613324979540639,2.9496883350525844,1.5574770739121462
Alabama-Choctaw,8.76123680683819,-0.5515804921921621,-0.85169472945271,2.397894017548409,-0.23766023534502304,-0.46685244833746076,-0.11258977713575608,2.9069010598473755,3.0819099697950434,22057163544.426395,4.575269859980675,0.8622934989190693,0.7129159957715903,10.420374767680714,7.7102051944325325,3.152736022363656,1.3253174639288026
Alabama-Clarke,9.378732023236639,-0.556778431806781,-0.960725394040813,2.565997688408363,-0.23766023534502304,-0.3149154275524776,0.43176319940648805,2.451005098112319,3.292126286607793,17407634507.84403,5.243675807358095,0.7052943814338556,0.9532788535456382,10.373834872713369,8.035278911144667,3.2068032436339315,-0.049781764434078064
Alabama-Clay,8.805525052709516,-0.4060381829828316,0.19499965059308066,0.4016629260864564,-0.1411349870491364,-0.46685244833746076,-0.11258977713575608,2.72785282839839,3.370738174177447,20359955966.46141,4.603409089199939,0.8394763500390321,0.5513116879186498,10.47240282307672,8.415603335654604,2.8154087194227095,1.2538837377800816
Alabama-Cleburne,8.900276348631271,-0.45281963951440224,0.7445142001171203,-0.4038338301174895,-0.21008159297476972,-0.3149154275524776,-0.11258977713575608,2.747270914255491,3.0301337002713233,12739735426.109652,6.390431376362567,0.17565699283503194,0.5883840329178517,10.546814038112117,8.264363329731667,2.833213344056216,1.7896366838954891
Alabama-Coffee,10.133566994851451,-0.2397041153150254,-0.1713433824229462,0.5977838754230692,-0.12734566586400975,-0.011041385982511266,-0.11258977713575608,2.4932054526026954,2.6741486494265287,21766460927.09714,4.374544944480774,0.6031460500405398,0.6848266081210523,10.752120235936289,7.633369649679584,2.8390784635086144,-0.424808826714864
Alabama-Colbert,10.17743828010161,-0.4476216998997832,0.1513873847578394,0.4857147615164333,-0.1549243082342631,-0.35289968274872335,0.023498466999804964,2.3702437414678603,3.0301337002713233,30821878531.077328,3.2111040056611677,0.5641603756139424,0.46767368991005126,10.610932037796898,7.8383433155571165,2.856470206220483,-0.08549862750843848
Alabama-Conecuh,8.728426091704613,-0.4892052168167348,-1.065394832045392,2.523971770693375,-0.19629227178964304,-0.46685244833746076,-0.11258977713575608,2.4336133554004498,3.32862668882732,36843249417.320175,2.5507501185309254,0.4273890922944439,0.2463115434874052,10.1226230824528,8.006700845440367,3.520460802488973,1.1467331485569998
Alabama-Coosa,8.626764827845529,-0.4632155187436401,-0.446100657184966,1.5433670240103101,-0.22387091415989635,-0.46685244833746076,-0.11258977713575608,2.5416019934645457,3.3178157727231046,21911414253.72377,4.51859876689588,0.5641603756139424,0.5883840329178517,10.348557915236652,7.9966538754626075,2.9601050959108397,0.9502904016480173
Alabama-Covington,9.816785218696834,-0.49440315643135374,0.3432813544329006,0.3036024514181499,-0.16871362941938972,-0.35289968274872335,0.023498466999804964,2.7212954278522306,2.9652730660692823,18644462631.022144,4.824033167955535,0.7634988231018599,0.83100828002934,10.50353211483375,7.422373700986824,3.005682604407159,0.39667902399542865
Alabama-Crenshaw,8.833899942908635,-0.48400727720211584,-0.21495564825818744,1.0390560114304483,-0.12734566586400975,0.21686414519496353,-0.11258977713575608,2.5257286443082556,3.202746442938317,17050089442.7472,4.931513362209084,0.7052943814338556,0.5112199906124424,10.491885141897002,8.019941687677365,2.8154087194227095,0.8252813808877548
Alabama-Cullman,10.598657685547298,-0.34886084722202326,0.7314305203665481,-0.529911583262455,-0.18250295060451638,-0.238946917159986,-0.11258977713575608,2.631888840136646,2.89591193827178,21194538781.1875,4.490063313290588,0.7634988231018599,0.5883840329178517,10.570573058768215,7.330405211844402,2.917770732084279,0.5574049078300508
Alabama-Dale,10.114882356815789,-0.2604958737735012,-0.24548423434285646,0.7518789070446936,-0.16871362941938972,-0.011041385982511266,-0.11258977713575608,2.6946271807700692,2.785011242238338,24982278052.46096,3.4237265837537674,0.790194514736272,0.7876883935959887,10.715039797474695,7.7886260656250315,2.9496883350525844,-0.5141009844007652
Alabama-Dallas,9.875602349046593,-0.556778431806781,-2.0423095867547962,4.240030077388738,-0.21008159297476972,-0.35289968274872335,-0.11258977713575608,2.312535423847214,3.1986731175506815,17771346672.389027,4.877999496816435,0.9245723099670654,0.7641944631236741,10.214861737244696,7.637716432664798,3.5553480614894135,0.11094411940054409
Alabama-DeKalb,10.476555312765532,0.1553392953960144,0.2386119164283219,-0.4808813459283018,-0.08597770230862976,-0.35289968274872335,0.023498466999804964,2.517696472610991,3.2733640101522705,22948568105.878674,4.603409089199939,0.4273890922944439,0.5513116879186498,10.550381348578611,7.215239978730097,2.928523523860541,-0.08549862750843848
Alabama-Elmore,10.580556162883383,-0.4268299414413075,-0.07975762416893978,0.8639480209513296,-0.21008159297476972,-0.2769311723562318,-0.11258977713575608,2.2617630984737906,2.766319109226186,24500246308.441654,4.196914590058115,0.31424001393388884,0.6548608232528105,10.88846444219873,7.590852123688581,2.6100697927420065,0.9324319701108367
Alabama-Escambia,9.879399757007038,-0.5099969752752106,-0.6423558534435517,1.7324836537277581,0.20359804257903008,-0.42886819314121494,-0.11258977713575608,2.3978952727983707,2.928523523860541,31015017902.582344,3.2111040056611677,0.67343992738632,0.3679817498566914,10.383750870719478,7.700295203420117,3.186352633162641,-0.03192333289689754
Alabama-Etowah,10.823909738189732,-0.38524642452435587,0.13394247842374266,0.4717061222781038,-0.19629227178964304,-0.20096266196374024,0.023498466999804964,2.2823823856765264,3.077312260546414,23099986160.520653,4.106011489627671,0.31424001393388884,0.3679817498566914,10.576942099750337,7.588829878307813,2.9806186357439426,0.021651961714642756
Alabama-Fayette,9.045111892608405,-0.5359866733483053,0.4305058861033831,0.23355925522650242,-0.23766023534502304,-0.3149154275524776,-0.11258977713575608,2.5416019934645457,3.1822118404966093,23559197343.734108,4.796876804770054,0.24871170625465452,0.1744700809167619,10.453918430894479,7.655390644826152,2.9069010598473755,0.9145735385736562
Alabama-Franklin,9.636326803305096,0.24370426884453644,0.13394247842374266,-0.3197819946875126,-0.1411349870491364,-0.42886819314121494,0.023498466999804964,2.5494451709255714,3.490428515390098,15460678599.682755,5.344557752748386,0.17565699283503194,1.1741081729609586,10.473675825695626,7.798523053625206,3.1135153092103742,1.021724127796738
Alabama-Geneva,9.486000469200638,-0.38524642452435587,0.3738099405175696,0.0024167077940657152,-0.19629227178964304,-0.011041385982511266,-0.11258977713575608,2.990719731730447,2.772588722239781,17168591023.652016,5.037226821582346,0.5641603756139424,0.8099233562582846,10.491940661981408,7.611842399580417,3.1441522786722644,0.4502543186069696
Alabama-Greene,8.31752199628717,-0.5359866733483053,-2.513322057775402,5.038522513973518,-0.22387091415989635,-0.3908839379449692,-0.11258977713575608,2.2512917986064953,3.095577608523707,17528182551.97128,4.286405019285206,1.109619614873233,0.8701017335679802,9.930178167789173,7.7886260656250315,3.6938669956249757,1.289600600854442
Alabama-Hale,8.879472402074802,-0.5151949148898295,-1.545129756233046,3.4695549192806157,-0.19629227178964304,-0.35289968274872335,0.023498466999804964,2.501435951739211,3.0587070727153796,26306110773.04739,4.136473519545377,0.24871170625465452,0.7393175950494679,10.395558399818471,7.771910256435763,3.288401887516811,1.1645915800941804
